card_id,paper_or_source_id,year,measurement_target,sensor_and_reference,direct_failure_or_limitation,gap_hypothesis_to_test,read_status,golden_novelty_relevance
GM-01,SRC-ZHANG-2025-3DGRF,2025,3D-GRF,CapSense+IMU; force plates,Generic low-cost 3D-GRF regression already demonstrated,Do not claim generic 3D-GRF novelty; test longitudinal attribution,READ_FULL,Prior-art boundary
GM-02,SRC-OLUGBON-2025-VGRF,2025,vGRF,Pressure contacts+IMU; stated reference in preprint,Drift/generalization are named; contact geometry used to reduce magnitude dependence,Does multi-session sensor-state attribution outperform contact/IMU baseline?,READ_FULL_PREPRINT,Close mechanism
GM-03,SRC-YAMAGUCHI-2023-3DGRF,2023,3D-GRF,Four triaxial sole sensors; force plate,Pressure-only horizontal force inference is limited,Velostat pressure-only must not assume Fx/Fy observability,READ_FULL,Gold-standard architecture warning
GM-04,SRC-ROUSE-2023-INSOLE-RETEST,2023,vGRF/COP,Wireless pressure insole; force plate,Systematic vGRF and ML-COP differences despite reliability,Separate agreement bias from repeatability/change detection,READ_FULL,Metric design
GM-05,SRC-BLIN-2022-COP,2022,COP,Moticon insole; force plate/mocap,Task-matched calibration and force/active-cell dependence,Detect calibration/task mismatch as measurement-state shift,READ_FULL,Hidden variable
GM-06,SRC-FUCHS-2024-REDUCED-COP,2024,COP,99-sensor reference with simulated layouts,"Accuracy varies by gait, direction, number/layout","Optimize layout for longitudinal MDC/false alerts, not one-task RMSE",READ_FULL,Hardware-hypothesis coupling
GM-07,SRC-WEIZMAN-2019-BENCHMARK,2019,Force/COP,Smart insole/Pedar; Kistler force plate,Relative insole position affects accuracy,Treat fit/placement as a measured perturbation,READ_FULL,Hidden variable
GM-08,SRC-DEFAZIO-2021-VELOSTAT,2021,Pressure/gait,Velostat matrix; bench characterization,Hysteresis/time-history motivates correction,Measure cell state/residual drift rather than assert correction,READ_FULL,Sensor mechanism
GM-09,SRC-JUNG-2026-PIEZO-SHEAR,2026,Pressure/shear,Tilted piezoresistive modules; treadmill,Initial drift/stabilization under cycles,Compare normal-pressure-only and sensor-state signals under loading history,READ_FULL,Failure mechanism
GM-10,SRC-HU-2023-VELOSTAT,2023,Gait phases,174-cell Velostat; phase reference,Cell outputs change at differing rates and crosstalk needs mitigation,Low-cost matrix must characterize crosstalk/cell heterogeneity before kinetic inference,READ_FULL,Velostat boundary
GM-11,SRC-PARKER-2023-XSENSOR,2023,Pressure/contact area,XSENSOR; two-day bench loads,Creep/protocol-specific suitability,Use reference-load sentinel to estimate measurement health across sessions,READ_FULL,Control design
GM-12,SRC-LIU-2025-RELIABILITY,2025,Plantar-pressure metrics,Embedded in-shoe system; two sessions,Reliability and MDC differ by trajectory/distance,"Change alert must exceed context-specific MDC, not only ML threshold",READ_FULL,Decision metric
GM-13,SRC-SCHELTINGA-2025-IMU-DAYS,2025,IMU-vGRF,3 IMUs; outdoor three days,Session effect confounds placement with natural variability,Use controlled perturbations plus reference to identify session components,READ_FULL,Direct conceptual neighbor
GM-14,SRC-SANTOS-2024-REVIEW,2024,Insole technology review,Review,Real-world/longitudinal validation and calibration standardization lacking,Narrow a testable standardized measurement-integrity protocol,READ_FULL,Landscape support only
GM-15,SRC-SCIREP-2025-INDIVIDUALITY,2025,Plantar-pressure individuality,Pressure platform; repeated healthy trials,Intra-individual variation matters for subsequent sessions,Personal baseline needs uncertainty/MDC not population threshold,READ_FULL,Longitudinal metric
GM-16,SRC-NPJPD-2026-LONGITUDINAL,2026,Wearable digital mobility,Wrist wearable; longitudinal cohorts,Within-person change needs reliability and non-disease comparison,Borrow evaluation logic but not disease/device claims,READ_FULL,Endpoint framework
GM-17,CAND-PEERJ-2024-16SENSOR-IMU,2024,vGRF and AP-GRF,16 resistive sensors+IMU; treadmill,GRF accuracy varies substantially between participants despite LOSO validation,Test session/context splits separately from LOSO; do not infer longitudinal fidelity from LOSO alone,READ_FULL,Candidate baseline
GM-18,SRC-ELSTUB-2022-SAMPLING,2022,Peak force,Pedar; sampling-rate manipulation,Sampling/battery trade-off changes peak-force error,Measure Mega/multiplex temporal-error budget on actual hardware; do not transfer Pedar results,READ_FULL,Embedded constraint
GM-19,CAND-XSENSOR-2025-DRIFT,2025,Pressure reliability,Commercial system; controlled walking,Subtle midfoot changes may fall inside test-retest error,Use region/task-specific minimum detectable change,SEARCH_EXCERPT,Candidate limitation
GM-20,CAND-OUTDOOR-2026-CONDITION,2026,Walking-condition classification,IMU+pressure; controlled outdoor conditions,IMU outperformed pressure-only condition classification; ecological generalization remains a stated concern,"Use context estimation as a quality-control input, not evidence of biological change",READ_FULL,Potential S/E observation channel
